Sample ID,Grab ID,Profile ID,Sample Number,Collect DateTime,Depth (m),Site Type,Area,Locator,Site,Parameter,Value,Units,QualityId,Lab Qualifier,MDL,RDL,Text Value,Sample Info,Steward Note,Replicates,Replicate Of,Method,Date Analyzed,Data Source
78810,78810,43093,L65864-12,07/26/2016 08:21:00 AM,8.1,Large Lakes,Lake Union/Ship Canal,A522,Lake Union near west shore,pH  Field,7.51,pH,2,,,,,,,,,KCEL SOP# 245,07/26/2016,KCEL
12027,12027,13599,8415605,12/11/1984 0:00,1,Streams and Rivers,Evans,S484,Evans Creek at NE 50th St,Nitrite + Nitrate Nitrogen,0.806,mg/L,2,,,,.806||King County Nstream Database/RS4,,,,,,,KCEL
46497,46497,41385,L11223-9,06/02/1997 12:53,5,Large Lakes,Lake Sammamish,612,Lake Sammamish mid-lake central,Dissolved Oxygen Saturation  Field,106,%,2,,,,,,,,,NONE,,KCEL
12054,12054,35823,8415638,12/12/1984 0:00,1,Streams and Rivers,Coal,442,Coal Creek upstream of 119th Ave SE,Nitrite + Nitrate Nitrogen,1.97,mg/L,2,,,,1.970||King County Nstream Database/RS4,,,,,,,KCEL
28633,,13738,L43396-1,08/01/2007 16:18,,Streams and Rivers,Soos,A320,Soos Creek mouth below Soos Creek Hatchery,Total Alkalinity,53,mg CaCO3/L,2,,1,10,,,,,,SM2320-B (03-03-001-003),08/06/2007,KCEL
140465,140465,54885,L7446-22,12/04/1995 12:02,5,Large Lakes,Lake Washington,834,Lake Washington Meydenbauer Bay,pH  Field,7.17,pH,2,,,,,,,,,NONE,,KCEL
19119,,37188,L16617-11,10/11/1999 12:16,,Streams and Rivers,Juanita,446,Juanita Creek mouth at NE Juanita Dr,Temperature,11.2,deg C,2,,,,,,,,,NONE,,KCEL
123149,123149,49857,L45129-112,02/11/2008 11:32,14.1,Large Lakes,Lake Washington,831,Lake Washington mid-lake south,Temperature,6,deg C,2,,,,,,,,,HYDROLAB (SOP 205V4),,KCEL
162039,162039,69813,L71686-1,02/20/2019 08:37:00 AM,1.1,Marine Offshore,Central Puget Sound,LSEP01,South Plant Outfall,Total Nitrogen,0.427,mg/L,1,,0.05,0.1,,,,,,SM4500-N-C S,02/26/2019,KCEL
35462,,12662,L66681-13,12/14/2016 02:27:00 PM,,Streams and Rivers,Cedar,A438,Cedar River at SE Jones Rd,Nitrite + Nitrate Nitrogen,0.334,mg/L,2,,0.01,0.04,,,,,,SM4500-NO3-F,12/16/2016,KCEL
